English	Arabic
Posting Date	تاريخ الفاتورة (إمتى اتكتبت)
Territory	المنطقة (اللي بيشتغل فيها المندوب)
Car Number	رقم العربية
Material	كود المنتج (رقم الصنف)
Quantity	الكمية (عدد الكراتين)
Unit	الوحدة (كرتونة ولا طبلية)
CAR	كرتونة
PAL	طبلية (بالتة)
Material Description	اسم المنتج
Total Net Weight	الوزن الصافي (بالكيلو)
Totals	المجموع الكلي
Printed By	مين اللي طبع الفاتورة
Printed on	تاريخ طباعة الفاتورة
Page 1 of 2	صفحة 1 من 2
Returnable Plastic Palettes	طبليات بلاستيك بترجع للشركة
Mix Milk Chocolate	لبن ميكس شيكولاتة
Mix Milk Strawberry	لبن ميكس فراولة
Mix Milk Banana	لبن ميكس موز
Mix Flavored Milk Vanilla	لبن ميكس فانيليا
Mix Flavored Milk Caramel	لبن ميكس كراميل
Mix Milk Chocolate less sugar	لبن ميكس شيكولاتة سكر قليل
Juhayna Juice Mango	عصير جهينة مانجو (مانجة)
Juhayna Juice Guava	عصير جهينة جوافة
Juhayna Juice Orange	عصير جهينة برتقان
Juhayna Juice Cocktail	عصير جهينة كوكتيل (فواكه مشكلة)
Juhayna Juice Apple	عصير جهينة تفاح
Juhayna Juice Red Grapes	عصير جهينة عنب أحمر
Juhayna Juice Pineapple	عصير جهينة أناناس
Juhayna Juice Mixed berries	عصير جهينة توت مشكل (توت ميكس)
Juhayna Juice Apple Pear	عصير جهينة تفاح وكمثرى
New Design	شكل العلبة الجديد
Pure Apple	عصير تفاح طبيعي (بيور)
Pure Mango Peach	عصير مانجو وخوخ طبيعي (بيور)
Pure Guava Cocktail	عصير جوافة كوكتيل طبيعي (بيور)
Pure Orange Carrot	عصير برتقان وجزر طبيعي (بيور)
Pure Orange	عصير برتقان طبيعي (بيور)
Pure Cocktail	عصير كوكتيل طبيعي (بيور)
Pure Red Grapes	عصير عنب أحمر طبيعي (بيور)
Pure Pineapple	عصير أناناس طبيعي (بيور)
Pure Pomegranate	عصير رمان طبيعي (بيور)
Juice PinaColada	عصير جوز هند وأناناس (بينا كولادا)
Single pack	علبة لوحدها (فرط)
Juice Bekheiro juice Mango	عصير بخيره مانجو (مانجة)
Juice Bekheiro juice Cocktail	عصير بخيره كوكتيل (فواكه مشكلة)
Juice Bekheiro juice Guava	عصير بخيره جوافة
Juice Bekheiro juice Apple	عصير بخيره تفاح
Sales-Period	فترة المبيعات (الشهر)
Period from	من تاريخ (من شهر)
Period to	لحد تاريخ (لحد شهر)
Last Period	الشهر اللي فات
Sales Region	منطقة المبيعات
Multiple values	أكتر من اختيار (مش حاجة واحدة بس)
Sales Org.	الشركة (إدارة المبيعات)
Navigation	الحركة والتنقل في الشاشة
Payer	مين اللي هيدفع الفلوس (الدافع)
Customer	الزبون (العميل)
National	على مستوى مصر كلها
Sub-Brand	النوع الفرعي للمنتج
Division	القسم أو الإدارة
Sales Supervisor	مشرف المبيعات
Distr. Channel	طريقة التوزيع والبيع
Local	محلي (جوة البلد)
ProdHier01-3	ترتيب وتصنيف المنتجات
Displayed in	بيتعرض بـ (الوحدة اللي بنحسب بيها)
Actual	اللي اتباع فعلاً
Plan	الهدف المطلوب (الخطة)
% (Percentage)	النسبة المئوية (حققت كام في المية من الهدف)
L Period	الشهر اللي فات
Change	الفرق عن الشهر اللي فات
EGP	جنيه مصري
Ramadan/Oriental	منتجات رمضان والحلويات الشرقية
Bekheiro Drink	مشروبات بخيره
Blends	عصائر مخلوطة (بليندز)
Mix	لبن ميكس (بنكهات)
Pure Juice	عصير طبيعي (بيور)
Classics	المنتجات العادية القديمة (كلاسيك)
Total	المجموع الكلي (الإجمالي)
Dry	بضاعة جافة (مش محتاجة تلاجة)
