#separator:tab
#html:true
#tags column:3

صباح النور	Morning! (reply to good morning)	Daily_Life::Greetings
مساء الخير	Good evening!	Daily_Life::Greetings
مساء النور	Evening! (reply)	Daily_Life::Greetings
إزيك؟	How are you doing?	Daily_Life::Greetings
تمام، والله	I'm doing great, honestly	Daily_Life::Greetings
كويس، شكراً	I'm good, thanks	Daily_Life::Greetings
ماشي الحال	Getting by / Same old same old	Daily_Life::Greetings
يلا، مع السلامة	Alright, take care!	Daily_Life::Greetings
ربنا يسلمك	Take care (reply — God keep you safe)	Daily_Life::Greetings
أهلاً وسهلاً	Welcome! Make yourself at home!	Daily_Life::Greetings
تشرفنا	Nice to meet you	Daily_Life::Greetings
وحشتني	I missed you so much	Daily_Life::Greetings
وحشتني أوي	I really missed you	Daily_Life::Greetings
ده فين ده؟	Where the heck is this place?	Daily_Life::Navigation
أنا تُهت	I'm totally lost	Daily_Life::Navigation
امشي على طول	Go straight ahead	Daily_Life::Navigation
لف شمال	Turn left	Daily_Life::Navigation
لف يمين	Turn right	Daily_Life::Navigation
قريب من هنا؟	Is it close by?	Daily_Life::Navigation
بعيد أوي؟	Is it really far?	Daily_Life::Navigation
خد تاكسي	Grab a cab	Daily_Life::Navigation
الأوبر أسرع	Uber's faster	Daily_Life::Navigation
في زحمة دلوقتي	Traffic's a nightmare right now	Daily_Life::Navigation
قولي لما نوصل	Let me know when we get there	Daily_Life::Navigation
أنا جعان موت	I'm starving to death	Daily_Life::Food
الأكل يجنن	The food is insane (so good)	Daily_Life::Food
ده طعمه إيه؟	What does this taste like?	Daily_Life::Food
معاك حاجة حلوة؟	You got anything sweet?	Daily_Life::Food
الطعمية بتاعتهم أحسن	Their falafel is the best	Daily_Life::Food
حاجة ساقعة لو سمحت	Something cold, please	Daily_Life::Food
المنيو بتاعكم فيه إيه؟	What's on your menu?	Daily_Life::Food
أي حاجة	Whatever works / Whatever you've got	Daily_Life::Food
زيادة شوية	A little more please	Daily_Life::Food
بس كده، شكراً	That's enough, thanks	Daily_Life::Food
الفاتورة لو سمحت	Check please	Daily_Life::Food
ده تقيل على معدتي	This is heavy on my stomach	Daily_Life::Food
هنقسم الحساب	We're all splitting it	Daily_Life::Food
الأيام هتبين	Time will tell	Daily_Life::General
مش عايز عيش	No bread needed	Daily_Life::Food
بكام ده؟	How much is this?	Shopping
غالي أوي	That's way too expensive	Shopping
فيه حاجة أرخص؟	Is there anything cheaper?	Shopping
ممكن تنزل شوية؟	Can you bring the price down a bit?	Shopping
آخر سعر إيه؟	What's your best price?	Shopping
ما يستاهلش التمن ده	This isn't worth the price	Shopping
ماشي، خدها	Alright, deal — I'll take it	Shopping
عندك مقاس أكبر؟	You got a bigger size?	Shopping
عايز أجرب ده	I want to try this on	Shopping
مش عاجبني	I don't like it	Shopping
هاخد اتنين	I'll take two	Shopping
فيه ديسكونت؟	Is there a discount?	Shopping
ده فيه عيب	This has a defect	Shopping
ممكن أبدله؟	Can I exchange it?	Shopping
معايا الفكة بالظبط	I've got the exact change	Shopping
أنا على الحديدة	I'm flat broke	Shopping
مش معايا فلوس دلوقتي	I don't have cash on me right now	Shopping
هاجيب الباقي بكره	I'll bring the rest tomorrow	Shopping
ادفع كاش ولا كارت؟	Paying cash or card?	Shopping
الكارت مش شغال	My card isn't working	Shopping
محتاج مساعدة؟	You need a hand?	Work_Business
شغلي بيجنني	My job is driving me crazy	Work_Business
المدير بيضغط عليا	My boss is on my case	Work_Business
عندي ميتنج	I've got a meeting	Work_Business
الميتنج اتأجل	The meeting got pushed back	Work_Business
خلصت الشغل	I'm done with work	Work_Business
الشغل واقف	Work is at a standstill	Work_Business
الإيميل اتبعت	The email went out	Work_Business
في ديدلاين بكره	There's a deadline tomorrow	Work_Business
عايز أخد إجازة	I want to take time off	Work_Business
مش قادر أكمل كده	I can't keep going like this	Work_Business
عايز زيادة مرتب	I need a raise	Work_Business
الفلوس مش كفاية	The money's not enough	Work_Business
أنا مش مرتاح في الشغل ده	I'm not comfortable in this job	Work_Business
ده مش من شغلي	That's not my job	Work_Business
هاعمله في أقرب وقت	I'll get it done ASAP	Work_Business
خليك على التليفون	Stay by your phone	Work_Business
بعتلك إيميل	I sent you an email	Work_Business
مش فاهم هما عايزين مني إيه	I don't really know what they want from me	Work_Business
الريتش عندنا على التيك توك واقع	Our TikTok engagement is terrible	Work_Business
مش حاسس بيها	I'm not feeling it / I'm not into it	Emotions
أنا زهقت	I'm bored out of my mind	Emotions
أنا تعبت	I'm exhausted	Emotions
الموضوع وجعني	That really hurt me	Emotions
متوتر أوي	I'm really stressed out	Emotions
مش قادر أهدى	I can't calm down	Emotions
فرحان جداً	I'm really happy	Emotions
أنا تمام	I'm doing great	Emotions
خلاص هيعيط	He's about to burst into tears	Emotions
خايف من الفشل	I'm scared of failing	Emotions
محتاج حد يسمعني	I need someone to listen to me	Emotions
مش قادر أفكر	I can't think straight	Emotions
مخنوق	I feel suffocated / I'm overwhelmed	Emotions
ده وجعني أوي	That really got to me	Emotions
أنا مبسوط	I'm happy / I'm pleased	Emotions
ماتزعلش	Don't be upset	Emotions
ريح قلبي	It warms my heart	Emotions
شايل هم	I've got a lot on my mind	Emotions
ضحكتني	You cracked me up	Emotions
أنا حاسس إني لوحدي	I feel alone	Emotions
هو بيقول إيه؟	What's he on about?	Arguing
ده مش كلامي	That's not what I said	Arguing
أنا كنت صح	I was right	Arguing
أنت غلطت	You messed up	Arguing
مش عارف تعتذر؟	Can't you just apologize?	Arguing
بلاش كده	Cut it out	Arguing
خليني أكمل	Let me finish	Arguing
أنا مش غلطان	I'm not wrong	Arguing
ده مش عدل	That's not fair	Arguing
كلامك مش منطقي	What you're saying doesn't make sense	Arguing
اسمعني كويس	Listen up, carefully	Arguing
مش هينفع	That's not gonna work	Arguing
عملت إيه؟	What did you do?	Arguing
اللي أنت عامله ده مش صح	What you're doing is wrong	Arguing
أنا مش هسكت	I'm not keeping my mouth shut	Arguing
السر في بير	My lips are sealed	Idioms
كلام في الهوا	You're wasting your breath	Idioms
بيمط في الكلام	He's dragging it out / milking it	Idioms
ولعت	It blew up / Everything went sideways	Idioms
على الآخر	Full blast / Going all out	Idioms
شايف نفسه	He thinks he's all that	Idioms
وقع في بير	He got himself into a mess	Idioms
فوق لنفسه	He pulled himself together	Idioms
شاطر يحسب	He's playing it smart	Idioms
اتقلب عليه الحال	His luck turned on him	Idioms
دايخ معاه	I'm losing my mind dealing with him	Idioms
طفح الكيل	He's at his breaking point	Idioms
قفلت منه	He can't stand him anymore	Idioms
ماشي على بيض	He's walking on eggshells	Idioms
قلبه مكسور	He's heartbroken	Idioms
ده مش طبيعي	This is not normal	Idioms
خده على قد عقله	Handle him according to his level	Idioms
خش في الموضوع	Get to the point	Idioms
كله تحت السيطرة	It's all in hand	Idioms
نور عينيا	You're the light of my eyes (my darling)	Idioms
جاي منين؟	Where are you coming from?	Travel
رايح فين؟	Where are you headed?	Travel
هتوصل إمتى؟	When do you get there?	Travel
عندك حجز؟	Do you have a reservation?	Travel
الجواز لو سمحت	Passport please	Travel
في تأخير؟	Is there a delay?	Travel
الطيارة إمتى؟	When's the flight?	Travel
التذكرة الإلكترونية معايا	I have the e-ticket	Travel
الشنط اتشحنت	The bags got checked in	Travel
فندق كويس ورخيص؟	Any good cheap hotels?	Travel
أنا حاجز أونلاين	I booked online	Travel
شامل الفطار ولا لأ؟	Does it include breakfast?	Travel
المواصلات صعبة هنا	Transport's a hassle here	Travel
روح الأمن الأول	Head to security first	Travel
الفيزا بكام؟	How much is the visa?	Travel
مش حاسس إني كويس	I'm not feeling well	Health
عنده سخونية	He's got a fever	Health
دماغي وجعاني	I've got a pounding headache	Health
الكحة مش بتروح	This cough won't go away	Health
محتاج أشوف دكتور	I need to see a doctor	Health
عندك حبوب للصداع؟	You got anything for a headache?	Health
الصيدلية فين؟	Where's the nearest pharmacy?	Health
لازم تاخد الدواء	You need to take your medicine	Health
الضغط عالي	His blood pressure's high	Health
زهقت من الدايت	I'm sick of this diet	Health
خد يومين راحة	Take a couple of days off to rest	Health
عملت تحاليل	I had blood work done	Health
اتطعمت	The vaccine was done / I got vaccinated	Health
مش تمام من زمان	I haven't been feeling good for a while	Health
لازم تاخد بالك من صحتك	You've got to take care of yourself	Health
اللي هيكون هيكون	Whatever happens, happens	Expressions_Mindset
ربنا يستر	God protect us / Let's hope for the best	Expressions_Mindset
خلينا نتصرف صح	Let's handle things properly	Expressions_Mindset
إن شاء الله	God willing / Hopefully	Expressions_Mindset
ربنا معانا	God's got us	Expressions_Mindset
بكره أحسن	Tomorrow will be better	Expressions_Mindset
اللي فات مات	Let the past go — it's dead and gone	Expressions_Mindset
ربنا المعين	God help us (things are tough)	Expressions_Mindset
على حسب	Depends	Expressions_Mindset
صبر وهيجي	Be patient and it'll come	Expressions_Mindset
ده قسمة ونصيب	It's fate / It was meant to be	Expressions_Mindset
متضايقش	Don't let it bother you	Expressions_Mindset
ده اللي فيه الخير	There's good in it somehow	Expressions_Mindset
هتعدي وتعدي	This will pass	Expressions_Mindset
ده فوق إمكانياتي	This is beyond what I can manage	Expressions_Mindset
بكره الصبح بدري	Early tomorrow morning	Time_Scheduling
بدري أوي	Quite early	Time_Scheduling
متأخر شوية	Running a little late	Time_Scheduling
في أي وقت يناسبك؟	What time works for you?	Time_Scheduling
بعد الشغل	After work	Time_Scheduling
قبل الأكل	Before eating	Time_Scheduling
نص الليل	Late into the night	Time_Scheduling
فاضي في الويك إند؟	Free this weekend?	Time_Scheduling
خليني أشوف جدولي	Let me check my schedule	Time_Scheduling
هنتقابل الساعة كام؟	What time are we meeting?	Time_Scheduling
مش متأكد من الميعاد	I'm not sure about the time	Time_Scheduling
فاضي بكره بدالها	I'm free tomorrow instead	Time_Scheduling
جاي ناحية الضهر	Sometime around noon	Time_Scheduling
خلصت بدري	I finished earlier than expected	Time_Scheduling
خطتنا إيه؟	What's our plan?	Time_Scheduling
عندك حق	You're right	Social_Expressions
معاك مية في المية	You're absolutely right / I'm with you 100%	Social_Expressions
بجد؟!	Seriously?! / No way!	Social_Expressions
يا ساتر!	Oh wow! / Good grief!	Social_Expressions
ماشي، تمام	Okay, cool	Social_Expressions
يلا نمشي	Let's head out	Social_Expressions
روح في داهية	Get lost! (strong)	Social_Expressions
اللي يريحك	Whatever makes you comfortable	Social_Expressions
مش هو ده	That's not the point	Social_Expressions
بلاش رغي كتير	Stop rambling / Stop talking too much	Social_Expressions
قول اللي عندك	Just say what's on your mind	Social_Expressions
عارف إيه؟	You know what?	Social_Expressions
بصراحة بقى	I'm being real with you	Social_Expressions
مش لازم	You don't have to	Social_Expressions
عيب عليك	Shame on you	Social_Expressions
مش فارقة معايا	I couldn't care less	Social_Expressions
عادي يعني	It's whatever / No big deal	Social_Expressions
ده طبيعي	That's totally normal	Social_Expressions
انت بتهزر؟	Are you kidding me?	Social_Expressions
بجد؟	For real?	Social_Expressions
كلام فاضي	That's nonsense / That's hot air	Social_Expressions
مش مصدقك	I don't believe you	Social_Expressions
يستاهل كل خير	He deserves it / It's worth it	Social_Expressions
ما يستاهلش	It's not worth it	Social_Expressions
عمل إيه دلوقتي؟	What's he up to now?	Social_Expressions
ما بيعرفش يخلص	He can never finish anything	Social_Expressions
على راسي	With pleasure / Absolutely (lit. on my head)	Social_Expressions
أمرك	Your wish is my command	Social_Expressions
كلامك إنت ده	That's your own opinion	Social_Expressions
فكرة مش بطالة	That's actually not a bad idea	Social_Expressions
حلو أوي ده	That's really nice	Social_Expressions
أنا مراقبك	I've got my eye on you	Social_Expressions
ده قلة أدب	That's just rude	Social_Expressions
لسه؟	Again?! / Still?!	Social_Expressions
تسلم إيدك	Bless your hands (said after someone helps or cooks)	Compliments_Appreciation
الله ينور عليك	You're amazing / Brilliant (lit. God lights upon you)	Compliments_Appreciation
ربنا يخليك	God bless you / May God keep you	Compliments_Appreciation
شاطر أوي	You're really smart / well done	Compliments_Appreciation
ده شغل تحفة	This is top-notch work	Compliments_Appreciation
ما شاء الله عليك	Mashallah, good for you	Compliments_Appreciation
انت من الآخر	You're the real deal / You're one of a kind	Compliments_Appreciation
إيدك تتلف في حرير	You're extremely talented / gifted touch	Compliments_Appreciation
الله يبارك فيك	God bless you	Compliments_Appreciation
عملت حاجة تحفة	You did something great	Compliments_Appreciation
مش محتاج أشكرك	I can't thank you enough (beyond thanks)	Compliments_Appreciation
ده من ذوقك	That's so thoughtful of you	Compliments_Appreciation
إيه الحلاوة دي!	Look at you! (impressed)	Compliments_Appreciation
هتعجبك أوي	You'd go crazy for it (it's amazing)	Compliments_Appreciation
زي القمر	You're absolutely stunning	Compliments_Appreciation
مش قادر أصدق	I can't believe it	Surprise_Reactions
يا نهار أبيض!	Oh wow! What a day! (positive or negative shock)	Surprise_Reactions
يا عيني!	Oh my! / Oh dear!	Surprise_Reactions
يا سلام!	Wow! / How wonderful!	Surprise_Reactions
ده جنن	That's insane / That's wild	Surprise_Reactions
فاجأتني	You surprised me	Surprise_Reactions
ما توقعتش كده	I didn't expect that at all	Surprise_Reactions
أهو ده!	There it is! / That's the one!	Surprise_Reactions
إيه اللي حصل فجأة ده؟	Where did that come from?	Surprise_Reactions
خد نفس	Take a breath / Calm down	Surprise_Reactions
كده من غير سابق إنذار؟	Just like that, out of nowhere?	Surprise_Reactions
ده حصل فعلاً؟	Did that actually happen?	Surprise_Reactions
مش معقول	No way / That's unbelievable	Surprise_Reactions
ده غريب	That's weird	Surprise_Reactions
مش عارف أفسر ده	I can't explain that	Surprise_Reactions
أنا محتاج أستلف	I need to borrow some money	Money_Finance
عندك فكة؟	You got change?	Money_Finance
مش معايا كاش	I don't have cash	Money_Finance
الحساب طلع كام؟	How much did the bill come to?	Money_Finance
دفعت أكتر من اللازم	I overpaid	Money_Finance
الفلوس راحت	The money's gone	Money_Finance
مرتبي خلص من أول الشهر	My salary ran out at the start of the month	Money_Finance
عارف يدير فلوسه	He manages money well	Money_Finance
بيصرف من غير حساب	He's spending like there's no tomorrow	Money_Finance
فاضل فلوس؟	Any money left?	Money_Finance
لازم أوفر	I need to start saving	Money_Finance
الإيجار غالي أوي	The rent is way too high	Money_Finance
غرقان في الديون	He racked up debts	Money_Finance
هسدد الديون بكره	I'll pay off my debts tomorrow	Money_Finance
الفلوس مش بتكفي	The money just doesn't stretch far enough	Money_Finance
ده مين؟	Who's that?	People_Relationships
صاحبي القديم	My old buddy	People_Relationships
عارفه من زمان	I've known him forever	People_Relationships
ما بنتكلمش كتير	We don't talk much	People_Relationships
بيننا مشكلة	There's an issue between us	People_Relationships
قريب مني جداً	He's very close to me	People_Relationships
مش بيفهمني	He doesn't get me	People_Relationships
طيب جداً	He's a really good person	People_Relationships
باثق فيه أوي	I trust him a lot	People_Relationships
ما بثقش فيه	I don't trust him	People_Relationships
بيحبنا	He cares about us	People_Relationships
عمل مشكلة معايا	He caused trouble with me	People_Relationships
غيرت رأيي فيه	My opinion of him changed	People_Relationships
مش لاقيه	I can't reach him	People_Relationships
بيتجنبني	He's been avoiding me	People_Relationships
عيل بيعمل إيه ده؟	What's this kid doing?	Family_Home
الولاد مجانين	The kids are driving me crazy	Family_Home
مراتي مش مبسوطة	My wife's not happy about it	Family_Home
جوزها ما بيفهمش	Her husband doesn't get it	Family_Home
إيه أخبار أهلك؟	How's your family doing?	Family_Home
البيت محتاج صيانة	The house needs fixing up	Family_Home
الشقة ضيقة	The apartment's too small	Family_Home
البيت محتاج تنضيف	We need to clean the house	Family_Home
أمي طبخت	My mom cooked	Family_Home
أبويا بيصلح	My dad's fixing something	Family_Home
أخويا صاحي؟	Is my brother up?	Family_Home
البنت بتذاكر	My daughter's studying	Family_Home
الولد راح المدرسة	The boy went to school	Family_Home
عندنا ضيوف	We've got guests over	Family_Home
البيت مكركب	The house is a mess	Family_Home
متسيبش ده يعدي	Don't let this slide	Conflict_Resolution
اعتذر منه	Apologize to him	Conflict_Resolution
مش هسامح بسهولة	I don't forgive easily	Conflict_Resolution
عايز نحل الموضوع	I want to sort this out	Conflict_Resolution
مش وقتها نتخانق	This isn't the time to fight	Conflict_Resolution
خلّيها تفوت	Let it go	Conflict_Resolution
تعالى نتكلم بهدوء	Come on, let's talk calmly	Conflict_Resolution
مش قصدي	I didn't mean it	Conflict_Resolution
أنا اعتذرت	I already apologized	Conflict_Resolution
مش هفتح الموضوع تاني	I'm not bringing this up again	Conflict_Resolution
قول اللي عندك بصراحة	You need to be straight with me	Conflict_Resolution
